,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
0,_s0218,100,100,pixels,62.5,248.5,961,Piriform area,,,,,,,,,,,,,,,,
1,_s0218,100,100,pixels,158.5,200.5,797,Zona incerta,,,,,,,,,,,,,,,,
2,_s0218,100,100,pixels,296.5,205.5,797,Zona incerta,,,,,,,,,,,,,,,,
3,_s0218,100,100,pixels,392.5,260.5,961,Piriform area,,,,,,,,,,,,,,,,
4,_s0218,25,25,pixels,99.0,135.0,463,Field CA3,,,,,,,,,,,,,,,,
5,_s0218,25,25,pixels,124.0,92.0,382,Field CA1,,,,,,,,,,,,,,,,
6,_s0218,25,25,pixels,292.0,85.0,382,Field CA1,,,,,,,,,,,,,,,,
7,_s0218,25,25,pixels,356.0,140.0,463,Field CA3,,,,,,,,,,,,,,,,
8,_s0218,4,4,pixels,52.5,120.5,847,"Primary auditory area, layer 5",,,,,,,,,,,,,,,,
9,_s0218,4,4,pixels,168.5,152.5,1020,Posterior complex of the thalamus,,,,,,,,,,,,,,,,
10,_s0218,4,4,pixels,287.5,160.5,1020,Posterior complex of the thalamus,,,,,,,,,,,,,,,,
11,_s0218,4,4,pixels,404.5,135.5,847,"Primary auditory area, layer 5",,,,,,,,,,,,,,,,
12,_s0314,100,100,pixels,113.5,148.5,672,Caudoputamen,,,,,,,,,,,,,,,,
13,_s0314,100,100,pixels,292.5,156.5,672,Caudoputamen,,,,,,,,,,,,,,,,
14,_s0314,25,25,pixels,133.0,272.0,754,Olfactory tubercle,,,,,,,,,,,,,,,,
15,_s0314,25,25,pixels,289.0,272.0,754,Olfactory tubercle,,,,,,,,,,,,,,,,
