,col0,col1,col2
0,1uap|47|Akira|7|1|2|Low,,
1,1uap|6547|Angel,Beats!|6|13|2|Low,
2,1uap|11111|Another|7|12|2|Low,,
3,1uap|9919|Ao,no,Exorcist|8|25|2|Low
4,1uap|7817|B-gata,H-kei|6|12|2|Low,
5,1uap|2251|Baccano!|9|13|2|Low,,
6,1uap|20787|Black,Bullet|7|13|2|Low,
7,1uap|889|Black,Lagoon|7|12|2|Low,
8,1uap|357|Bokusatsu,Tenshi,Dokuro-chan|4|4|2|Low
9,1uap|14345|Btooom!|9|12|2|Low,,
10,1uap|59|Chobits|7|26|2|Low,,
11,1uap|1818|Claymore|9|26|2|Low,,
12,1uap|1|Cowboy,Bebop|6|26|2|Low,
13,1uap|61|D.N.Angel|5|26|2|Low,,
14,1uap|30127|Danchigai|5|12|2|Low,,
15,1uap|6880|Deadman,Wonderland|6|12|2|Low,
16,1uap|1535|Death,Note|9|37|2|Low,
17,1uap|33988|Demi-chan,wa,Kataritai|5|12|2|Low
18,1uap|5177|Denpa-teki,na,Kanojo|5|2|2|Low
19,1uap|1726|Devil,May,Cry|6|12|2|Low
20,1uap|35120|Devilman:,Crybaby|8|10|2|Low,
21,1uap|223|Dragon,Ball|8|153|2|Low,
22,1uap|225|Dragon,Ball,GT|4|64|2|Low
23,1uap|30694|Dragon,Ball,Super|9|131|2|Low
24,1uap|813|Dragon,Ball,Z|9|291|2|Low
25,1uap|226|Elfen,Lied|9|13|2|Low,
26,1uap|356|Fate/stay,night|7|24|2|Low,
27,1uap|227|FLCL|4|6|2|Low,,
28,1uap|71|Full,Metal,Panic!|8|24|2|Low
29,1uap|121|Fullmetal,Alchemist|6|51|2|Low,
30,1uap|5114|Fullmetal,Alchemist:,Brotherhood|8|64|2|Low
31,1uap|4725|Ga-Rei:,Zero|6|12|2|Low,
32,1uap|918|Gintama|9|201|2|Low,,
33,1uap|21431|Gokukoku,no,Brynhildr|7|13|2|Low
34,1uap|8425|Gosick|9|24|2|Low,,
35,1uap|245|Great,Teacher,Onizuka|8|43|2|Low
36,1uap|10793|Guilty,Crown|5|22|2|Low,
37,1uap|777|Hellsing,Ultimate|7|10|2|Low,
38,1uap|8630|Hidan,no,Aria|7|12|2|Low
39,1uap|5630|Higashi,no,Eden|5|11|2|Low
40,1uap|28825|Himouto!,Umaru-chan|4|12|2|Low,
41,1uap|12189|Hyouka|5|22|2|Low,,
42,1uap|21327|Isshuukan,Friends.|6|12|2|Low,
43,1uap|10568|Kamisama,no,Memochou|6|12|2|Low
44,1uap|6205|Kämpfer|4|12|2|Low,,
45,1uap|33|Kenpuu,Denki,Berserk|8|25|2|Low
46,1uap|274|Kiddy,Grade|4|24|2|Low,
47,1uap|28851|Koe,no,Katachi|8|1|2|Low
48,1uap|11887|Kokoro,Connect|8|13|2|Low,
49,1uap|237|Koukyoushihen,Eureka,Seven|6|50|2|Low
50,1uap|554|Koutetsu,Tenshi,Kurumi|5|24|2|Low
51,1uap|1887|Lucky☆Star|5|24|2|Low,,
52,1uap|9756|Mahou,Shoujo,Madoka★Magica|6|12|2|Low
53,1uap|512|Majo,no,Takkyuubin|5|1|2|Low
54,1uap|10110|Mayo,Chiki!|6|13|2|Low,
55,1uap|330|Midori,no,Hibi|8|13|2|Low
56,1uap|10620|Mirai,Nikki|6|26|2|Low,
57,1uap|164|Mononoke,Hime|7|1|2|Low,
58,1uap|19|Monster|6|74|2|Low,,
59,1uap|20|Naruto|7|220|2|Low,,
60,1uap|1210|NHK,ni,Youkoso!|7|24|2|Low
61,1uap|18095|Nourin|5|12|2|Low,,
62,1uap|6512|Nyan,Koi!|6|12|2|Low,
63,1uap|28819|Okusama,ga,Seitokaichou!|4|12|2|Low
64,1uap|6324|Omamori,Himari|5|12|2|Low,
65,1uap|30276|One,Punch,Man|8|12|2|Low
66,1uap|195|Onegai☆Teacher|6|12|2|Low,,
67,1uap|196|Onegai☆Twins|6|12|2|Low,,
68,1uap|2966|Ookami,to,Koushinryou|9|13|2|Medium
69,1uap|1943|Paprika|6|1|2|Low,,
70,1uap|13601|Psycho-Pass|7|22|2|Low,,
71,1uap|23281|Psycho-Pass,2|6|11|2|Low,
72,1uap|30015|ReLIFE|6|13|2|Low,,
73,1uap|2993|Rosario,to,Vampire|6|13|2|Low
74,1uap|168|s.CRY.ed|3|26|2|Low,,
75,1uap|205|Samurai,Champloo|6|26|2|Low,
