,col0,col1,col2,col3,col4,col5,col6,col7,col8
0,Object,0,,,,,,,
1,Samples,443,,,,,,,
2,treatment,1,,,,,,,
3,cage,49,,,,,,,
4,mark,1,,,,,,,
5,id,71,,,,,,,
6,trial,2,,,,,,,
7,date,40:50.0,yyyy-MM-dd HH:mm:ss,,,,,,
8,Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
9,1,0,200.84,-3.43,296,356,e ext,169.59,-
10,2,0.2,201.36,-5.87,380,284,e ext,171.46,2.5
11,3,0.4,199.51,-5.28,572,400,s ext,169.62,1.94
12,4,0.6,195.26,-1.82,692,448,s ext,164.15,5.48
13,5,0.8,194.55,-3.87,672,548,s ext,164.82,2.17
14,6,1,193.53,-5.51,672,544,s ext,165.02,1.93
15,7,1.2,192.17,-6.37,684,452,s ext,164.5,1.61
16,8,1.4,190.47,-7.09,620,360,s ext,163.63,1.84
17,9,1.6,188.61,-7.29,652,376,s ext,162.32,1.88
18,10,1.8,182.77,-3.61,624,380,s ext,155.47,6.9
19,11,2,173.88,1.64,596,436,s ext,145.26,10.32
20,12,2.2,167.18,6.38,504,308,south,137.08,8.21
21,13,2.4,160.58,10.75,480,264,south,129.21,7.91
22,14,2.6,154.49,16.93,400,328,south,120.58,8.67
23,15,2.8,148.82,22.75,552,336,south,112.5,8.13
24,16,3,140.42,31.9,568,456,south,100.21,12.42
25,17,3.2,135.8,38.41,636,428,south,92.51,7.98
26,18,3.4,129.67,46.78,676,528,south,82.52,10.37
27,19,3.6,122.73,56.41,708,664,south,71.26,11.87
28,20,3.8,117.05,65.01,768,756,south,61.84,10.31
29,21,4,111.47,73.52,864,824,south,52.84,10.17
30,22,4.2,106.85,81.73,912,896,south,45.34,9.42
31,23,4.4,103.73,89.2,1004,940,south,39.91,8.11
32,24,4.6,100.41,96.15,968,964,south,35.31,7.69
33,25,4.8,97.75,103.52,952,992,west,32.36,7.83
34,26,5,94.79,110.9,972,996,north,30.42,7.95
35,27,5.2,91.48,117.35,1028,832,north,29.25,7.25
36,28,5.4,87.41,124.2,1008,876,north,29.19,7.97
37,29,5.6,83.41,130.88,964,756,north,30.41,7.79
38,30,5.8,78.38,136.79,932,640,north,31.94,7.76
39,31,6,73.83,142.31,912,548,north,34.48,7.15
40,32,6.2,71.08,145.61,868,532,north,36.57,4.3
41,33,6.4,66.14,149.64,864,476,north,39.26,6.37
42,34,6.6,59.78,154.39,868,572,north,43.18,7.94
43,35,6.8,50.79,160.6,804,528,north,49.74,10.93
44,36,7,46.82,163.08,864,316,north,52.77,4.68
45,37,7.2,41.7,166.3,820,540,north,57.02,6.05
46,38,7.4,37.22,168.25,784,508,north,60.18,4.89
47,39,7.6,33.79,169.21,780,500,north,62.25,3.56
48,40,7.8,32.35,167.31,812,504,north,60.98,2.38
49,41,8,32.95,162.64,796,576,west,56.42,4.71
50,42,8.2,34.23,154.57,792,796,west,48.52,8.17
51,43,8.4,35.08,145.95,884,812,west,40.45,8.65
52,44,8.6,35.18,135.95,820,760,west,32,10
53,45,8.8,35,124.26,848,740,west,23.95,11.69
54,46,9,33.7,114.14,816,648,west,20.1,10.21
55,47,9.2,32.28,103.16,724,636,west,19.6,11.07
56,48,9.4,30.64,93.23,688,588,west,22.24,10.07
57,49,9.6,28.28,85.89,680,480,west,26.6,7.71
58,50,9.8,24.67,77.58,708,436,west,33.74,9.06
59,51,10,21.63,70.91,616,348,w ext,39.87,7.33
60,52,10.2,21.46,69.24,620,228,w ext,40.99,1.67
61,53,10.4,21.28,67.58,616,260,w ext,42.16,1.67
62,54,10.6,22.36,69.88,564,172,w ext,39.89,2.54
63,55,10.8,23.26,70.5,588,160,w ext,38.8,1.09
64,56,11,21.46,69.24,504,252,w ext,40.99,2.19
65,57,11.2,20.37,66.92,592,208,w ext,43.28,2.57
66,58,11.4,19,62.86,576,320,w ext,46.94,4.28
67,59,11.6,17.54,58.73,556,356,w ext,50.81,4.38
68,60,11.8,15.27,51.13,456,404,w ext,57.82,7.94
69,61,12,12.21,39.34,528,408,w ext,68.78,12.18
70,62,12.2,10.96,31.58,540,460,w ext,75.76,7.85
71,63,12.4,9.62,23.98,548,456,w ext,82.81,7.72
72,64,12.6,7.3,15.51,532,504,w ext,91.22,8.78
73,65,12.8,7.29,12.2,600,492,w ext,94.08,3.31
74,66,13,9.29,12.19,600,512,west,93.08,2.01
75,67,13.2,13.1,13.98,616,616,west,89.66,4.2
76,68,13.4,18.21,17.07,700,612,south,84.52,5.97
77,69,13.6,26.52,22.13,600,684,south,76.41,9.73
78,70,13.8,36.92,28.1,632,632,south,67.2,12
79,71,14,47.86,32.74,700,676,south,60.24,11.88
80,72,14.2,60.42,35.63,784,780,south,56.81,12.88
81,73,14.4,74.21,37.32,672,712,south,57.38,13.9
82,74,14.6,86.12,36.45,756,732,south,62.33,11.94
83,75,14.8,103.47,32.11,700,864,south,74.7,17.89
84,76,15,117.61,27.14,696,644,south,87.16,14.99
85,77,15.2,130.76,21.65,612,540,south,100.01,14.25
86,78,15.4,143.76,14.03,612,496,south,114.56,15.07
87,79,15.6,157.75,4.91,620,496,s ext,130.98,16.7
88,80,15.8,165.01,0.63,624,364,s ext,139.22,8.43
89,81,16,172.38,-4.04,416,352,s ext,147.82,8.72
90,82,16.2,177.19,-6.77,428,364,s ext,153.23,5.53
