,col0,col1,col2,col3
0,1,1,-3,500000.06
1,1,1,-1,0.0
2,1,1,1,500000.06
3,1,2,-3,80000.01
4,1,2,-1,0.0
5,1,2,1,80000.01
6,1,3,-3,86666.68
7,1,3,-1,0.0
8,1,3,1,86666.68
9,1,4,-3,500000.06
10,1,4,-1,0.0
11,1,4,1,500000.06
12,1,5,-3,80000.01
13,1,5,-1,0.0
14,1,5,1,80000.01
15,1,6,-3,86666.68
16,1,6,-1,0.0
17,1,6,1,86666.68
18,1,7,-3,500000.06
19,1,7,-1,0.0
20,1,7,1,500000.06
21,1,8,-3,80000.01
22,1,8,-1,0.0
23,1,8,1,80000.01
24,1,9,-3,86666.68
25,1,9,-1,0.0
26,1,9,1,86666.68
27,1,10,-3,74250008.0
28,1,10,-1,0.0
29,1,10,1,74250008.0
30,1,11,-3,11880001.0
31,1,11,-1,0.0
32,1,11,1,11880001.0
33,1,12,-3,12870001.0
34,1,12,-1,0.0
35,1,12,1,12870001.0
36,1,13,-3,74250008.0
37,1,13,-1,0.0
38,1,13,1,74250008.0
39,1,14,-3,11880001.0
40,1,14,-1,0.0
41,1,14,1,11880001.0
42,1,15,-3,12870001.0
43,1,15,-1,0.0
44,1,15,1,12870001.0
45,1,16,-3,74250008.0
46,1,16,-1,0.0
47,1,16,1,74250008.0
48,1,17,-3,11880001.0
49,1,17,-1,0.0
50,1,17,1,11880001.0
51,1,18,-3,12870001.0
52,1,18,-1,0.0
53,1,18,1,12870001.0
54,1,19,-3,74250008.0
55,1,19,-1,0.0
56,1,19,1,74250008.0
57,1,20,-3,11880001.0
58,1,20,-1,0.0
59,1,20,1,11880001.0
60,1,21,-3,12870001.0
61,1,21,-1,0.0
62,1,21,1,12870001.0
63,1,22,-3,74250000.0
64,1,22,-1,0.0
65,1,22,1,74250000.0
66,1,23,-3,11880000.0
67,1,23,-1,0.0
68,1,23,1,11880000.0
69,1,24,-3,12870001.0
70,1,24,-1,0.0
71,1,24,1,12870001.0
72,1,25,-3,74250000.0
73,1,25,-1,0.0
74,1,25,1,74250000.0
75,1,26,-3,11880000.0
76,1,26,-1,0.0
77,1,26,1,11880000.0
78,1,27,-3,12870001.0
79,1,27,-1,0.0
80,1,27,1,12870001.0
