,col0,col1,col2
0,201,G,4.840877915
1,201,DG,2.9163237310000003
2,201,H,2.352537722666666
3,201,DH,2.2935528119999997
4,202,G,4.967078189333333
5,202,DG,2.993415638
6,202,H,1.021399177
7,202,DH,2.3448559673333342
8,203,G,2.955555556
9,203,DG,2.975308642333333
10,203,H,2.976954732666667
11,203,DH,2.942386831666667
12,204,G,4.861728395
13,204,DG,1.5794238680000001
14,204,H,1.095473251
15,204,DH,1.462551440333334
16,205,G,4.765464713666667
17,205,DG,3.413944882666666
18,205,H,1.189251511666667
19,205,DH,1.467654702666667
20,206,G,
21,206,DG,
22,206,H,
23,206,DH,
24,207,G,4.962995113000001
25,207,DG,2.943474579666667
26,207,H,2.978068201
27,207,DH,2.969902049
28,208,G,4.5678481369999995
29,208,DG,3.4284369793333327
30,208,H,3.538625587666667
31,208,DH,3.553465657666667
32,209,G,4.855967078
33,209,DG,3.63648834
34,209,H,1.09739369
35,209,DH,2.935528120666666
36,210,G,4.978052126333334
37,210,DG,2.997256516
38,210,H,1.012345679
39,210,DH,3.0260631
40,211,G,3.79561053
41,211,DG,2.7983540560000004
42,211,H,1.9190672783333331
43,211,DH,2.625514466
44,212,G,4.843890974
45,212,DG,4.869669054666666
46,212,H,1.086356571333333
47,212,DH,1.136396376
48,213,G,4.9796053339999995
49,213,DG,3.582879481333334
50,213,H,1.007639563666667
51,213,DH,1.800860126
52,214,G,4.153292181333334
53,214,DG,4.579218107
54,214,H,1.251028806666667
55,214,DH,1.282921810666666
56,215,G,4.425919496000001
57,215,DG,3.718975051333333
58,215,H,1.349800668666667
59,215,DH,1.257458847666667
60,216,G,4.957889660666667
61,216,DG,2.352366255333333
62,216,H,1.031963734333333
63,216,DH,1.035410236666667
64,217,G,3.666666666666667
65,217,DG,3.666666666666667
66,217,H,1.0
67,217,DH,2.333333333333333
68,218,G,4.975308851
69,218,DG,2.960219562666667
70,218,H,1.015089205
71,218,DH,2.326474696
72,219,G,3.148148148
73,219,DG,3.148148148
74,219,H,3.148148148
75,219,DH,3.148148148
76,220,G,4.754458287666666
77,220,DG,4.779149478333333
78,220,H,1.208504822
79,220,DH,1.342935591
80,221,G,4.959876543
81,221,DG,4.944444444333334
82,221,H,3.281207133333333
83,221,DH,3.108024691666667
84,222,G,5.0
85,222,DG,2.9690180760000002
86,222,H,1.0
87,222,DH,2.9587716163333333
88,223,G,4.488073192000001
89,223,DG,4.548980379333333
90,223,H,2.9026565260000003
91,223,DH,3.0444830243333327
92,224,G,4.983539094666667
93,224,DG,2.944032921666667
94,224,H,1.004938271666667
95,224,DH,2.651028806666667
96,225,G,4.9830246916666665
97,225,DG,4.971450617666666
98,225,H,1.0111882713333329
99,225,DH,1.013117283666667
100,226,G,4.978052126333333
101,226,DG,3.978052126
102,226,H,1.030178326333333
103,226,DH,1.0260631
104,227,G,4.976213535999999
105,227,DG,3.927835012000002
106,227,H,1.059875153333333
