,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
0,12000028,1610612739,CLE,Cleveland,1627748,Thon Maker,F,,25:55,1.0,6.0,0.16699999999999998,0.0,2.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0
1,12000028,1610612739,CLE,Cleveland,1630171,Isaac Okoro,F,,30:17,3.0,5.0,0.6,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,4.0,10.0,3.0
2,12000028,1610612739,CLE,Cleveland,203083,Andre Drummond,C,,20:43,7.0,16.0,0.43799999999999994,1.0,2.0,0.5,3.0,4.0,0.75,4.0,10.0,14.0,5.0,0.0,0.0,2.0,0.0,18.0,17.0
3,12000028,1610612739,CLE,Cleveland,1628422,Damyean Dotson,G,,25:44,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,6.0,-2.0
4,12000028,1610612739,CLE,Cleveland,1629636,Darius Garland,G,,23:29,4.0,13.0,0.308,2.0,3.0,0.667,3.0,4.0,0.75,0.0,1.0,1.0,5.0,1.0,0.0,1.0,3.0,13.0,20.0
5,12000028,1610612739,CLE,Cleveland,1629716,Marques Bolden,,,22:17,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,3.0,2.0,2.0,8.0,-17.0
6,12000028,1610612739,CLE,Cleveland,1629685,Dylan Windler,,,17:16,4.0,7.0,0.5710000000000001,2.0,4.0,0.5,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,11.0,2.0
7,12000028,1610612739,CLE,Cleveland,1629760,Matt Mooney,,,21:51,1.0,7.0,0.14300000000000002,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,4.0,2.0,0.0,4.0,3.0,4.0,-23.0
8,12000028,1610612739,CLE,Cleveland,1629731,Dean Wade,,,21:39,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,5.0,9.0,-3.0
9,12000028,1610612739,CLE,Cleveland,1626260,Levi Randolph,,,21:03,2.0,5.0,0.4,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,7.0,-11.0
10,12000028,1610612739,CLE,Cleveland,1630205,Lamar Stevens,,,9:46,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-21.0
11,12000028,1610612739,CLE,Cleveland,203521,Matthew Dellavedova,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
12,12000028,1610612739,CLE,Cleveland,203957,Dante Exum,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
13,12000028,1610612739,CLE,Cleveland,201567,Kevin Love,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
14,12000028,1610612739,CLE,Cleveland,1629666,Charles Matthews,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
15,12000028,1610612739,CLE,Cleveland,201580,JaVale McGee,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
16,12000028,1610612739,CLE,Cleveland,1626204,Larry Nance Jr.,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
17,12000028,1610612739,CLE,Cleveland,1626224,Cedi Osman,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
18,12000028,1610612739,CLE,Cleveland,1629645,Kevin Porter Jr.,,DNP_PERSONAL                            ,,,,,,,,,,,,,,,,,,,,
19,12000028,1610612739,CLE,Cleveland,1629012,Collin Sexton,,DNP - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
20,12000028,1610612752,NYK,New York,203493,Reggie Bullock,F,,23:29,3.0,9.0,0.33299999999999996,1.0,6.0,0.16699999999999998,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,7.0,-12.0
21,12000028,1610612752,NYK,New York,203944,Julius Randle,F,,28:30,7.0,10.0,0.7,0.0,2.0,0.0,4.0,6.0,0.667,2.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,18.0,-9.0
22,12000028,1610612752,NYK,New York,1629011,Mitchell Robinson,C,,31:51,5.0,7.0,0.7140000000000001,0.0,0.0,0.0,3.0,4.0,0.75,4.0,6.0,10.0,1.0,0.0,4.0,0.0,5.0,13.0,10.0
23,12000028,1610612752,NYK,New York,1629628,RJ Barrett,G,,32:56,6.0,12.0,0.5,1.0,4.0,0.25,3.0,3.0,1.0,0.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,16.0,13.0
24,12000028,1610612752,NYK,New York,203901,Elfrid Payton,G,,25:13,2.0,12.0,0.16699999999999998,0.0,4.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,5.0,-7.0
25,12000028,1610612752,NYK,New York,1629016,Omari Spellman,,,4:49,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0
26,12000028,1610612752,NYK,New York,1630167,Obi Toppin,,,30:50,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,8.0,16.0
27,12000028,1610612752,NYK,New York,1628372,Dennis Smith Jr.,,,15:47,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,8.0,0.0
28,12000028,1610612752,NYK,New York,1628995,Kevin Knox II,,,22:04,5.0,8.0,0.625,3.0,5.0,0.6,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,16.0,8.0
29,12000028,1610612752,NYK,New York,1630193,Immanuel Quickley,,,24:31,3.0,11.0,0.273,1.0,6.0,0.16699999999999998,2.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,9.0,19.0
30,12000028,1610612752,NYK,New York,1629649,Ignas Brazdeikis,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
31,12000028,1610612752,NYK,New York,202692,Alec Burks,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
