,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
0,1,1,1,,,1.0,,706000,N_C,604000,N_D,,,,
1,2,1,1,,,2.0,,707100,N_C,601000,N_D,,,,
2,3,1,1,,,3.0,,707100,N_C,602100,N_D,,,,
3,4,1,1,,,4.0,,707100,N_C,602200,N_D,,,,
4,5,1,1,,,5.0,,706000,N_C,604000,N_D,,,,
5,6,1,1,,,6.0,,708000,N_C,625100,N_D,,,,
6,28,1,1,302.0,,,,705000,N_C,621400,N_D,,,,
7,29,1,1,303.0,,,,708400,N_C,621400,N_D,,,,
8,30,1,1,304.0,,,,708400,N_C,621400,N_D,,,,
9,31,1,1,305.0,,,,708400,N_C,621400,N_D,,,,
