,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
0,59.0,10.0,10.0,cresh22,14.0,78.4198,36.0,51.0,25.5124,26.375,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,9.0
1,62.0,10.0,10.0,cresh22,14.0,81.5872,35.0,52.0,26.0109,26.375,-0.047978128521343935,-0.9988483864849508,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,9.0
2,88.0,10.0,11.0,cresh22,1.0,73.0851,176.0,66.0,30.9795,28.875,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.4840764331210191,0.06369426751592358,0.10191082802547773,0.4649681528662421,0.445859872611465,0.0,11.0
3,112.0,10.0,10.0,cresh22,4.0,55.5127,69.0,44.0,22.9666,28.75,0.4962165036752084,-0.8681988144891422,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.17894736842105266,0.3105263157894737,0.015789473684210527,0.08947368421052633,0.09473684210526316,0.0,11.0
4,69.0,10.0,11.0,cresh22,8.0,81.5331,44.0,55.0,27.6648,29.875,0.2840153447039226,-0.9588197348681928,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.0
5,60.0,10.0,10.0,cresh22,14.0,87.2998,44.0,45.0,25.0138,26.625,0.21643961393810274,-0.9762960071199334,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,11.0
6,63.0,10.0,10.0,cresh22,14.0,80.1112,44.0,48.0,24.7353,25.875,0.0871557427476582,-0.9961946980917455,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,9.0
7,60.0,10.0,10.0,cresh22,14.0,80.2218,45.0,52.0,24.8355,26.875,0.017452406437283442,-0.9998476951563912,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.08360128617363344,0.1607717041800643,0.06430868167202572,0.04823151125401929,0.09003215434083603,0.0,9.0
8,71.0,10.0,10.0,cresh22,2.0,74.7672,190.0,64.0,27.9541,28.625,-0.047978128521343935,-0.9988483864849508,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
9,76.0,10.0,10.0,cresh22,2.0,75.2406,194.0,69.0,27.7934,29.75,-0.12186934340514732,-0.9925461516413221,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
10,80.0,10.0,10.0,cresh22,2.0,72.2243,195.0,67.0,27.9989,30.125,-0.1865240360087344,-0.9824503977255098,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
11,72.0,10.0,10.0,cresh22,2.0,73.7848,191.0,66.0,28.2357,30.375,-0.25038000405444155,-0.9681476403781076,-0.433883739117558,-0.9009688679024191,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.273972602739726,0.0,0.0273972602739726,0.3561643835616438,0.2465753424657534,0.0,10.0
12,78.0,10.0,10.0,cresh22,16.0,63.2932,345.0,44.0,24.9293,28.625,0.5482932295199138,-0.8362861558477596,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
13,73.0,10.0,10.0,cresh22,16.0,62.846,351.0,43.0,24.7072,28.5,0.17794354547384186,-0.9840406976462908,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,9.0
14,62.0,10.0,10.0,cresh22,16.0,61.8933,343.0,43.0,24.9126,28.625,0.09150161866340258,-0.9958049275746615,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,11.0
15,62.0,10.0,10.0,cresh22,16.0,62.6521,341.0,43.0,24.7207,30.0,0.021814885034561214,-0.9997620270799092,0.9749279121818236,-0.22252093395631434,0.2564102564102564,0.35897435897435903,0.0,0.1282051282051282,0.1282051282051282,0.0,0.515625,0.03125,0.03125,0.078125,0.296875,0.0,10.0
