,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
0,174,187,201,5299999,1,125,23,27,194,13,1.0,1.0,1.0,0.609055,0.609446,101,1,0,0,1,1,0
1,23,201,225,5300200,2,165,189,13,137,149,1.0,0.931334,0.9359629999999999,0.8773620000000001,0.44204,101,1,1,0,1,1,1
2,27,224,198,5300200,2,180,141,105,194,177,1.0,1.0,0.776697,0.703368,0.235125,101,1,1,1,1,1,0
3,189,198,387,5304823,3,45,65,135,195,186,1.0,1.0,1.0,1.0,1.0,101,0,0,1,1,1,1
4,135,212,398,5309446,4,18,45,65,143,10000000,1.0,1.0,1.0,0.23352199999999998,0.0,101,0,0,0,1,1,0
5,186,201,412,5309446,4,45,65,135,10000000,10000000,1.0,1.0,1.0,0.0,0.0,101,0,0,1,1,1,0
6,195,201,412,5309446,4,135,67,45,65,116,1.0,0.763783,1.0,1.0,0.232963,101,1,0,0,0,1,0
7,45,225,398,5309446,4,18,10000000,10000000,10000000,10000000,1.0,0.0,0.0,0.0,0.0,101,0,1,1,1,1,1
8,65,201,427,5309446,4,174,45,10000000,10000000,10000000,0.23330700000000001,1.0,0.0,0.0,0.0,101,1,0,1,1,1,0
9,18,373,401,5310070,5,24,107,53,104,10000000,1.0,0.46745,0.46787,1.0,0.0,101,0,1,1,1,1,1
10,104,398,385,5310693,6,24,96,10000000,10000000,10000000,1.0,0.435287,0.0,0.0,0.0,101,0,1,1,1,1,0
11,24,427,398,5310693,6,53,35,131,21,10000000,1.0,0.703829,0.697198,0.306277,0.0,101,0,0,1,1,1,1
12,53,572,401,5311316,7,21,35,107,81,131,1.0,1.0,1.0,0.6128100000000001,1.0,101,0,0,1,0,1,1
13,131,586,401,5311939,8,170,21,35,107,85,1.0,1.0,1.0,1.0,0.46779799999999994,101,1,0,0,1,1,0
14,21,601,426,5311940,8,179,117,85,4,10000000,0.9296200000000001,0.612367,0.609186,0.0,0.0,101,1,1,1,0,1,1
15,107,612,398,5311940,8,111,170,81,21,190,0.929465,0.913766,0.700491,1.0,0.604927,101,1,1,0,0,1,0
16,35,626,398,5311940,8,111,126,81,21,190,1.0,0.8651989999999999,0.700491,1.0,0.46813299999999997,101,1,1,0,0,1,0
17,85,598,572,5312563,9,4,84,115,193,179,1.0,1.0,1.0,0.6082810000000001,1.0,101,0,0,1,1,1,0
18,117,598,586,5312563,9,19,193,172,4,84,0.88205,0.7743270000000001,0.772104,1.0,1.0,101,0,1,1,0,0,0
19,179,598,587,5312563,9,148,4,193,84,115,0.77594,1.0,0.6992,1.0,1.0,101,1,0,1,0,1,1
20,115,612,598,5313186,10,90,9,4,84,94,0.8665149999999999,0.766695,1.0,1.0,0.468492,101,0,0,0,0,1,0
21,84,628,598,5313186,10,118,90,4,10000000,10000000,0.8676649999999999,0.465272,1.0,0.0,0.0,101,1,1,0,1,1,0
22,4,601,629,5313186,10,172,148,193,19,10000000,0.918999,0.915007,0.912249,0.914042,0.0,101,1,1,1,0,1,1
23,19,598,771,5317810,11,6,176,138,193,172,1.0,1.0,1.0,1.0,1.0,101,0,1,1,1,1,0
24,148,598,786,5317810,11,6,176,138,69,127,1.0,1.0,1.0,0.43894700000000003,0.43976400000000004,101,0,1,1,1,1,0
25,172,598,787,5317810,11,120,184,6,176,138,0.785706,0.783243,1.0,1.0,1.0,101,1,1,0,1,1,1
26,193,598,787,5317810,11,184,6,176,138,10000000,0.783243,1.0,1.0,1.0,0.0,101,1,0,1,1,1,0
27,176,612,798,5318433,12,184,6,10000000,10000000,10000000,0.7828609999999999,1.0,0.0,0.0,0.0,101,1,0,1,1,1,0
28,138,613,798,5318433,12,120,155,184,6,10000000,0.7853220000000001,0.6960069999999999,0.604069,1.0,0.0,101,1,1,1,0,1,0
29,6,625,798,5318433,12,184,120,10000000,10000000,10000000,0.436133,0.43267100000000003,0.0,0.0,0.0,101,1,1,1,1,1,1
