,col0,col1,col2,col3,col4,col5,col6,col7
0,access_crm_survey_survey_pr,survey.survey,model_survey_survey,cci_config_groups.group_pr_ccit,1,1,1,1
1,access_crm_survey_survey_dg,survey.survey,model_survey_survey,cci_config_groups.group_dg_ccit,1,1,1,1
2,access_crm_survey_survey_coach,survey.survey,model_survey_survey,cci_config_groups.group_coach_cci,1,1,1,1
3,access_crm_survey_survey_user,survey.survey,model_survey_survey,cci_config_groups.group_user_cci,1,1,1,1
4,access_crm_survey_page_pr,survey.page,model_survey_page,cci_config_groups.group_pr_ccit,1,1,1,1
5,access_crm_survey_page_dg,survey.page,model_survey_page,cci_config_groups.group_dg_ccit,1,1,1,1
6,access_crm_survey_page_coach,survey.page,model_survey_page,cci_config_groups.group_coach_cci,1,1,1,1
7,access_crm_survey_page_user,survey.page,model_survey_page,cci_config_groups.group_user_cci,1,1,1,1
8,access_crm_survey_question_pr,survey.question,model_survey_question,cci_config_groups.group_pr_ccit,1,1,1,1
9,access_crm_survey_question_dg,survey.question,model_survey_question,cci_config_groups.group_dg_ccit,1,1,1,1
10,access_crm_survey_question_coach,survey.question,model_survey_question,cci_config_groups.group_coach_cci,1,1,1,1
11,access_crm_survey_question_user,survey.question,model_survey_question,cci_config_groups.group_user_cci,1,1,1,1
12,access_crm_survey_label_pr,survey.label,model_survey_label,cci_config_groups.group_pr_ccit,1,1,1,1
13,access_crm_survey_label_dg,survey.label,model_survey_label,cci_config_groups.group_dg_ccit,1,1,1,1
14,access_crm_survey_label_coach,survey.label,model_survey_label,cci_config_groups.group_coach_cci,1,1,1,1
15,access_crm_survey_label_user,survey.label,model_survey_label,cci_config_groups.group_user_cci,1,1,1,1
