,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
0,0,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,131,獄長,4,3,1,航行士,3,3,7,煌術処刑士,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
1,1,2,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,1,航行士,3,4,1,航行士,5,3,1,航行士,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
2,2,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,7,煌術処刑士,3,4,7,煌術処刑士,5,3,7,煌術処刑士,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
3,3,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,129,アガタウマス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
4,4,8,0,Vyse,6,7,1,Aika,5,8,2,Fina,6,8,-1,None,-1,-1,72,警備士,5,4,72,警備士,6,4,133,護送将兵,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
5,5,12,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,130,イマゴタリア,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
6,6,16,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,131,獄長,1,2,131,獄長,4,1,131,獄長,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
7,7,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,134,ラァス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
8,8,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,3,4,0,軍艦兵,5,3,0,軍艦兵,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
9,9,4,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,-1
10,10,4,0,Vyse,5,6,1,Aika,2,9,2,Fina,8,9,-1,None,-1,-1,2,ミクラステル,4,3,2,ミクラステル,6,2,2,ミクラステル,1,3,2,ミクラステル,3,5,2,ミクラステル,5,4,2,ミクラステル,2,2,2,ミクラステル,4,2,2,8,???,6,???,-1
