,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
0,3,7,MapPartitionsRDD,15 treeAggregate ,6.0,False,False,False,False,1,1600,0,,,,,,,False,False,
1,9,21,MapPartitionsRDD,38 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
2,9,24,MapPartitionsRDD,41 mean ,22.0,False,False,False,False,1,1600,0,,,,,,,False,False,
3,0,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
4,1,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
5,2,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
6,3,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
7,4,9,ShuffledRDD,15 treeAggregate ,8.0,False,False,False,False,1,40,0,,,,,,,False,False,
8,5,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
9,7,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
10,9,1,MapPartitionsRDD,0 textFile ,0.0,False,False,False,False,1,1600,0,,,,,,,False,False,
11,5,12,MapPartitionsRDD,23 treeAggregate ,11.0,False,False,False,False,1,1600,0,,,,,,,False,False,
12,6,15,MapPartitionsRDD,23 treeAggregate ,14.0,False,False,False,False,1,40,0,,,,,,,False,False,
13,3,6,PartitionwiseSampledRDD,14 sample ,5.0,False,False,False,False,1,1600,0,,,,,,,False,False,
14,7,17,MapPartitionsRDD,31 treeAggregate ,16.0,False,False,False,False,1,1600,0,,,,,,,False,False,
15,8,20,MapPartitionsRDD,31 treeAggregate ,19.0,False,False,False,False,1,40,0,,,,,,,False,False,
16,0,3,MapPartitionsRDD,2 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
17,4,10,MapPartitionsRDD,15 treeAggregate ,9.0,False,False,False,False,1,40,0,,,,,,,False,False,
18,5,13,MapPartitionsRDD,23 treeAggregate ,12.0,False,False,False,False,1,1600,0,,,,,,,False,False,
19,2,5,MapPartitionsRDD,11 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
20,3,5,MapPartitionsRDD,11 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
21,5,5,MapPartitionsRDD,11 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
22,7,5,MapPartitionsRDD,11 map ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
23,7,16,PartitionwiseSampledRDD,30 sample ,5.0,False,False,False,False,1,1600,0,,,,,,,False,False,
24,8,19,ShuffledRDD,31 treeAggregate ,18.0,False,False,False,False,1,40,0,,,,,,,False,False,
25,9,22,MapPartitionsRDD,39 map ,21.0,False,False,False,False,1,1600,0,,,,,,,False,False,
26,3,8,MapPartitionsRDD,15 treeAggregate ,7.0,False,False,False,False,1,1600,0,,,,,,,False,False,
27,5,11,PartitionwiseSampledRDD,22 sample ,5.0,False,False,False,False,1,1600,0,,,,,,,False,False,
28,3,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
29,5,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
30,7,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
31,9,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
32,0,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
33,1,4,MapPartitionsRDD,8 filter ,2.0,False,False,False,False,1,1600,0,,,,,,,False,False,
34,1,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
35,2,0,hdfs://minli39.sl.cloud9.ibm.com:9000/SparkBench/LogisticRegression/Input,0 textFile ,,False,False,False,False,1,1600,0,,,,,,,False,False,
36,6,14,ShuffledRDD,23 treeAggregate ,13.0,False,False,False,False,1,40,0,,,,,,,False,False,
37,0,2,MapPartitionsRDD,1 map ,1.0,False,True,True,False,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
38,1,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
39,2,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
40,3,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
41,5,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
42,7,18,MapPartitionsRDD,31 treeAggregate ,17.0,False,False,False,False,1,1600,0,,,,,,,False,False,
43,7,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
44,9,2,MapPartitionsRDD,1 map ,1.0,False,True,True,True,1,1600,0,2.0,32776891984.0,1600.0,True,True,53512655499.0,True,True,
