,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,perm.talent.TrainingCategory.r,com.axelor.apps.talent.db.TrainingCategory,x,,,,,,,Training Read
1,perm.talent.Training.r,com.axelor.apps.talent.db.Training,x,,,,,self.company.id in (?),__user__.companySet.id.plus(0),Training Read
2,perm.talent.TrainingSession.r,com.axelor.apps.talent.db.TrainingSession,x,,,,,,,Training Read
3,perm.talent.Skill.r,com.axelor.apps.talent.db.Skill,x,,,,,,,Training Read
4,perm.talent.TalentSource.r,com.axelor.apps.talent.db.TalentSource,x,,,,,,,Training Read
5,perm.talent.TrainingCategory.rwc,com.axelor.apps.talent.db.TrainingCategory,x,x,x,,,,,Training User
6,perm.talent.Training.rwc,com.axelor.apps.talent.db.Training,x,x,x,,,self.company.id in (?),__user__.companySet.id.plus(0),Training User
7,perm.talent.TrainingSession.rwc,com.axelor.apps.talent.db.TrainingSession,x,x,x,,,,,Training User
8,perm.talent.Skill.rwc,com.axelor.apps.talent.db.Skill,x,x,x,,,,,Training User
9,perm.talent.TrainingRegister.rwc,com.axelor.apps.talent.db.TrainingRegister,x,x,x,,,,,Training User
10,perm.talent.TrainingCategory.rwcde,com.axelor.apps.talent.db.TrainingCategory,x,x,x,x,x,,,Training Manager
11,perm.talent.Training.rwcde,com.axelor.apps.talent.db.Training,x,x,x,x,x,self.company.id in (?),__user__.companySet.id.plus(0),Training Manager
12,perm.talent.TrainingSession.rwcde,com.axelor.apps.talent.db.TrainingSession,x,x,x,x,x,,,Training Manager
13,perm.talent.Skill.rwcde,com.axelor.apps.talent.db.Skill,x,x,x,x,x,,,Training Manager
14,perm.talent.TrainingRegister.rwcde,com.axelor.apps.talent.db.TrainingRegister,x,x,x,x,x,,,Training Manager
