,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21700075,1610612764,WAS,Washington,1626162,Kelly Oubre Jr.,F,,38:35,6.0,11.0,0.545,4.0,6.0,0.667,3.0,3.0,1.0,2.0,6.0,8.0,0.0,2.0,2.0,1.0,4.0,19.0,2.0
1,1,21700075,1610612764,WAS,Washington,203490,Otto Porter Jr.,F,,33:33,11.0,16.0,0.688,7.0,9.0,0.778,0.0,3.0,0.0,2.0,8.0,10.0,2.0,1.0,1.0,0.0,5.0,29.0,5.0
2,2,21700075,1610612764,WAS,Washington,101162,Marcin Gortat,C,,32:34,8.0,16.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,18.0,4.0
3,3,21700075,1610612764,WAS,Washington,203078,Bradley Beal,G,,15:21,2.0,7.0,0.28600000000000003,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,16.0
4,4,21700075,1610612764,WAS,Washington,202322,John Wall,G,,37:43,7.0,20.0,0.35,2.0,7.0,0.28600000000000003,4.0,6.0,0.667,0.0,2.0,2.0,14.0,1.0,1.0,4.0,3.0,20.0,6.0
5,5,21700075,1610612764,WAS,Washington,201975,Jodie Meeks,,,27:21,4.0,12.0,0.33299999999999996,2.0,6.0,0.33299999999999996,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,10.0,-20.0
6,6,21700075,1610612764,WAS,Washington,101133,Ian Mahinmi,,,12:39,1.0,3.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,-9.0
7,7,21700075,1610612764,WAS,Washington,203118,Mike Scott,,,24:03,4.0,7.0,0.5710000000000001,0.0,1.0,0.0,6.0,6.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,2.0,3.0,14.0,-1.0
8,8,21700075,1610612764,WAS,Washington,204025,Tim Frazier,,,12:39,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,1.0,0.0,-9.0
9,9,21700075,1610612764,WAS,Washington,203107,Tomas Satoransky,,,5:32,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0
