,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,22000827,1610612748,MIA,Miami,202710,Jimmy Butler,F,,10:18,89.1,95.2,94.6,104.5,-5.4,-9.3,0.6,0.0,37.5,0.0,0.1,0.045,0.0,0.6,0.643,0.20800000000000002,0.205,108.92,100.16,83.47,21,0.225
1,1,22000827,1610612748,MIA,Miami,2772,Trevor Ariza,F,,9:27,77.7,81.0,74.8,81.8,2.9,-0.9,0.0,0.0,0.0,0.0,0.273,0.14300000000000002,0.0,0.0,0.0,0.13,0.131,116.72,109.21,91.01,21,-0.02
2,2,22000827,1610612748,MIA,Miami,1628389,Bam Adebayo,C,,9:27,77.7,81.0,74.8,81.8,2.9,-0.9,0.4,1.0,40.0,0.0,0.0,0.0,40.0,1.0,1.0,0.13,0.131,116.72,109.21,91.01,21,0.122
3,3,22000827,1610612748,MIA,Miami,1629130,Duncan Robinson,G,,9:27,77.7,81.0,74.8,81.8,2.9,-0.9,0.0,0.0,0.0,0.0,0.182,0.095,16.7,0.6,0.6,0.261,0.262,116.72,109.21,91.01,21,0.163
4,4,22000827,1610612748,MIA,Miami,1629134,Kendrick Nunn,G,,4:23,70.0,70.0,79.5,81.8,-9.5,-11.8,0.0,0.0,0.0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.0,0.5,0.5,0.273,0.273,116.73,114.98,95.82,10,0.038
5,5,22000827,1610612748,MIA,Miami,201609,Goran Dragic,,,4:13,67.8,87.5,167.5,162.5,-99.7,-75.0,0.5,1.0,20.0,0.16699999999999998,0.0,0.14300000000000002,20.0,0.0,0.34700000000000003,0.364,0.353,102.82,91.0,75.83,8,-0.028999999999999998
6,6,22000827,1610612748,MIA,Miami,1629639,Tyler Herro,,,7:36,86.6,100.0,107.4,120.0,-20.8,-20.0,0.0,0.0,0.0,0.0,0.2,0.077,50.0,0.5,0.5,0.222,0.218,107.57,94.7,78.91,15,0.036000000000000004
7,7,22000827,1610612748,MIA,Miami,2738,Andre Iguodala,,,2:32,91.9,125.0,225.0,225.0,-133.1,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.155,89.31,75.69,63.07,4,-0.061
8,8,22000827,1610612748,MIA,Miami,202357,Nemanja Bjelica,,,2:32,91.9,125.0,225.0,225.0,-133.1,-100.0,0.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.31,75.69,63.07,4,0.061
9,9,22000827,1610612756,PHX,Phoenix,1628969,Mikal Bridges,F,,8:02,68.9,77.8,83.3,83.3,-14.4,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.047,114.48,107.55,89.63,18,-0.047
10,10,22000827,1610612756,PHX,Phoenix,203109,Jae Crowder,F,,8:46,72.1,80.0,85.5,89.5,-13.4,-9.5,0.0,0.0,0.0,0.1,0.3,0.2,33.3,0.0,0.0,0.13,0.129,115.2,106.77,88.97,20,0.021
11,11,22000827,1610612756,PHX,Phoenix,1629028,Deandre Ayton,C,,8:46,72.1,80.0,85.5,89.5,-13.4,-9.5,0.0,0.0,0.0,0.0,0.3,0.15,20.0,0.667,0.773,0.217,0.21600000000000003,115.2,106.77,88.97,20,0.34
12,12,22000827,1610612756,PHX,Phoenix,1626164,Devin Booker,G,,4:23,79.5,81.8,70.0,70.0,9.5,11.8,0.0,0.0,0.0,0.0,0.16699999999999998,0.083,28.6,0.2,0.276,0.583,0.568,116.73,114.98,95.82,11,-0.154
13,13,22000827,1610612756,PHX,Phoenix,101108,Chris Paul,G,,7:46,68.9,77.8,88.2,88.2,-19.3,-10.5,0.5,0.0,40.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.14300000000000002,0.141,115.32,108.15,90.13,18,0.0
14,14,22000827,1610612756,PHX,Phoenix,1626166,Cameron Payne,,,4:13,167.5,162.5,67.8,87.5,99.7,75.0,0.667,0.0,40.0,0.0,0.16699999999999998,0.14300000000000002,0.0,0.5,0.6940000000000001,0.375,0.387,102.82,91.0,75.83,8,0.4
15,15,22000827,1610612756,PHX,Phoenix,1629661,Cameron Johnson,,,7:36,107.4,120.0,86.6,100.0,20.8,20.0,0.2,1.0,33.3,0.0,0.125,0.077,33.3,1.5,1.5,0.11800000000000001,0.11900000000000001,107.57,94.7,78.91,15,0.107
16,16,22000827,1610612756,PHX,Phoenix,1628470,Torrey Craig,,,3:13,187.1,183.3,67.2,83.3,119.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.33299999999999996,0.34,99.28,89.44,74.53,6,0.28600000000000003
17,17,22000827,1610612756,PHX,Phoenix,203967,Dario Saric,,,3:13,187.1,183.3,67.2,83.3,119.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.064,0.33299999999999996,0.34,99.28,89.44,74.53,6,0.22899999999999998
18,18,22000827,1610612756,PHX,Phoenix,1628975,Jevon Carter,,,3:57,167.5,162.5,75.1,87.5,92.4,75.0,0.0,0.0,0.0,0.0,0.2,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,103.69,97.13,80.94,8,0.051
