,col0,col1,col2,col3,col4,col5
0,tc_01,0,FDRE,,,1.0
1,tc_02,100,Taxable Purchases - VAT,tc_01,False,1.0
2,tc_03,110,Taxable Purchase VAT Out of Scope,tc_02,False,1.0
3,tc_04,120,Taxable Purchase VAT Exempt,tc_02,False,1.0
4,tc_05,130,Taxable Purchase VAT Rated 0%,tc_02,False,1.0
5,tc_06,140,Taxable Purchase VAT Rated 15%,tc_02,False,1.0
6,tc_07,200,Taxable Purchases - Witholding,tc_01,False,1.0
7,tc_08,220,Taxable 2% Withholding on Purchases,tc_07,False,1.0
8,tc_09,225,Taxable 35% Withholding on Purchases,tc_07,False,1.0
9,tc_10,250,Taxable Sales - VAT,tc_01,False,1.0
10,tc_11,255,Taxable Sales VAT Out of Scope (Sales),tc_10,False,1.0
11,tc_12,260,Taxable Sales VAT Exempt,tc_10,False,1.0
12,tc_13,265,Taxable Sales VAT Rated 0%,tc_10,False,1.0
13,tc_14,270,Taxable Sales VAT Rated 15%,tc_10,False,1.0
14,tc_15,280,Taxable Sales - Withholding,tc_01,False,1.0
15,tc_16,285,Taxable 2% Withholding on Sales,tc_15,False,1.0
16,tc_17,290,Taxable 35% Withholding on Sales,tc_15,False,1.0
17,tc_18,295,Taxable VAT Withholding on Sales,tc_15,False,1.0
18,tc_19,300,Net VAT to be Paid/Reclaimed,tc_01,False,1.0
19,tc_20,310,Purchase VAT,tc_19,False,1.0
20,tc_21,311,Purchase VAT Rated 15%,tc_20,False,-1.0
21,tc_22,320,Sales VAT,tc_19,False,1.0
22,tc_23,321,Sales VAT Rated 15%,tc_22,False,1.0
23,tc_24,400,Withholding on Purchases,tc_01,False,1.0
24,tc_25,410,2% Withholding on Purchases,tc_24,False,-1.0
25,tc_26,420,35% Withholding on Purchases,tc_24,False,-1.0
26,tc_27,500,Withholding on Sales,tc_01,False,1.0
27,tc_28,510,2% Withheld on Sales,tc_27,False,1.0
28,tc_29,520,35% Withheld on Sales,tc_27,False,1.0
29,tc_30,530,VAT Withheld on Sales,tc_27,False,1.0
