,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,Dwarrowdelf.Client,ClientConfig,4,1,0,4,1,26,1,0,0,0.0,0,3,,Dwarrowdelf.Client.ClientSavedConfig' Dwarrowdelf.Client.UI.MainWindowMenuBar' Dwarrowdelf.Client.App
1,Dwarrowdelf.Client,ClientSavedConfig,0,2,3,0,2,27,4,0,0,-1.0,1,1,Dwarrowdelf.Client.ClientConfig,Dwarrowdelf.Client.UI.MainWindow
2,Dwarrowdelf.Client,CommandPromptHandler,1,11,0,0,2,230,40,0,0,0.73,3,2,Dwarrowdelf.Client.App' Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.ItemSelectorDialog,Dwarrowdelf.Client.UI.MainWindow' Dwarrowdelf.Client.KeyboardHandler
3,Dwarrowdelf.Client,KeyHandlerMode,0,0,0,0,0,6,0,0,0,-1.0,0,1,,Dwarrowdelf.Client.KeyboardHandler
4,Dwarrowdelf.Client,GameKeyBinding,0,0,0,0,0,3,0,3,0,-1.0,0,4,,Dwarrowdelf.Client.GameRawKeyBinding' Dwarrowdelf.Client.GameWildKeyBinding' Dwarrowdelf.Client.GameTextKeyBinding' Dwarrowdelf.Client.KeyboardHandler
5,Dwarrowdelf.Client,GameRawKeyBinding,0,1,3,0,1,12,1,0,1,-1.0,1,1,Dwarrowdelf.Client.GameKeyBinding,Dwarrowdelf.Client.KeyboardHandler
6,Dwarrowdelf.Client,GameWildKeyBinding,0,1,1,0,1,8,1,0,1,-1.0,1,1,Dwarrowdelf.Client.GameKeyBinding,Dwarrowdelf.Client.KeyboardHandler
7,Dwarrowdelf.Client,GameTextKeyBinding,0,1,2,0,1,10,1,0,1,-1.0,1,1,Dwarrowdelf.Client.GameKeyBinding,Dwarrowdelf.Client.KeyboardHandler
8,Dwarrowdelf.Client,KeyboardHandler,3,11,1,0,1,167,32,0,0,0.73,9,1,Dwarrowdelf.Client.CommandPromptHandler' Dwarrowdelf.Client.KeyHandlerMode' Dwarrowdelf.Client.GameKeyBinding' Dwarrowdelf.Client.GameRawKeyBinding' Dwarrowdelf.Client.GameWildKeyBinding' Dwarrowdelf.Client.GameTextKeyBinding' Dwarrowdelf.Client.App' Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.ClientToolMode,Dwarrowdelf.Client.UI.MainWindow
9,Dwarrowdelf.Client,DebugScriptMessages,0,4,0,0,4,107,4,0,0,-1.0,4,2,Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.CreateLivingDialog' Dwarrowdelf.Client.UI.CreateItemDialog' Dwarrowdelf.Client.UI.SetTerrainDialog,Dwarrowdelf.Client.UI.LivingObjectPropertiesControl' Dwarrowdelf.Client.UI.MainWindow
10,Dwarrowdelf.Client,Program,1,1,0,1,1,24,2,0,0,0.0,1,1,Dwarrowdelf.Client.App,Dwarrowdelf.Client.App
11,Dwarrowdelf.Client,TileSet,2,9,3,0,6,134,14,0,0,0.22,1,1,Dwarrowdelf.Client.TileKey,Dwarrowdelf.Client.GameData
12,Dwarrowdelf.Client,TileKey,3,4,0,3,4,24,4,0,0,0.0,0,1,,Dwarrowdelf.Client.TileSet
13,Dwarrowdelf.Client,App,1,11,1,0,3,118,19,0,0,0.82,4,9,Dwarrowdelf.Client.ClientConfig' Dwarrowdelf.Client.Program' Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.MainWindow,Dwarrowdelf.Client.UI.ItemObjectPropertiesControl' Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.Program' Dwarrowdelf.Client.UI.TreeViewTemplateDictionary' Dwarrowdelf.Client.UI.ListItemInfoTemplateDictionary' Dwarrowdelf.Client.CommandPromptHandler' Dwarrowdelf.Client.UI.MainWindowMenuBar' Dwarrowdelf.Client.UI.MainWindowCommandHandler' Dwarrowdelf.Client.KeyboardHandler
14,Dwarrowdelf.Client,GameData,0,2,3,0,2,14,2,0,1,-1.0,3,16,Dwarrowdelf.Client.TileSet' Dwarrowdelf.Client.App' Dwarrowdelf.Client.UI.MainWindow,Dwarrowdelf.Client.UI.MainWindowToolBar' Dwarrowdelf.Client.UI.NetStatWindow' Dwarrowdelf.Client.UI.SymbolAndColorToDrawingConverter' Dwarrowdelf.Client.UI.ItemIDAndMaterialIDToDrawingConverter' Dwarrowdelf.Client.UI.BaseObjectPropertiesControl' Dwarrowdelf.Client.UI.ItemObjectPropertiesControl' Dwarrowdelf.Client.UI.LaborManagerDialog' Dwarrowdelf.Client.UI.MainWindowMenuBar' Dwarrowdelf.Client.UI.MovableObjectPropertiesControl' Dwarrowdelf.Client.DebugScriptMessages' Dwarrowdelf.Client.CommandPromptHandler' Dwarrowdelf.Client.UI.StatWindow' Dwarrowdelf.Client.App' Dwarrowdelf.Client.UI.ConsoleDialog' Dwarrowdelf.Client.KeyboardHandler' Dwarrowdelf.Client.UI.MainWindow
15,Dwarrowdelf.Client.UI,CoordinateValueConverter,0,2,0,0,2,31,6,0,0,-1.0,0,0,,
16,Dwarrowdelf.Client.UI,EnumToBooleanConverter,0,2,0,0,2,11,2,0,0,-1.0,0,0,,
17,Dwarrowdelf.Client.UI,FpsGraphControl,5,6,0,0,1,80,16,0,0,0.67,0,0,,
18,Dwarrowdelf.Client.UI,Map3DToolBar,1,3,0,0,2,39,4,0,0,0.0,0,0,,
19,Dwarrowdelf.Client.UI,StatWindow,11,10,0,0,2,151,17,0,0,0.0,1,1,Dwarrowdelf.Client.GameData,Dwarrowdelf.Client.UI.MainWindowMenuBar
20,Dwarrowdelf.Client.UI,ClientToolMode,0,0,0,0,0,21,0,0,0,-1.0,0,2,,Dwarrowdelf.Client.KeyboardHandler' Dwarrowdelf.Client.UI.MainWindow
21,Dwarrowdelf.Client.UI,NullToVisibilityConverter,0,2,0,0,2,16,3,0,0,-1.0,0,0,,
22,Dwarrowdelf.Client.UI,FocusedObjectStats,1,3,0,0,2,39,4,0,0,0.0,0,0,,
23,Dwarrowdelf.Client.UI,MainWindowMenuBar,1,15,0,0,2,241,28,0,0,0.87,6,0,Dwarrowdelf.Client.ClientConfig' Dwarrowdelf.Client.App' Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.StatWindow' Dwarrowdelf.Client.UI.GCDebugWindow' Dwarrowdelf.Client.UI.NetStatWindow,
24,Dwarrowdelf.Client.UI,UIElementToDescConverter,0,2,0,0,2,19,4,0,0,-1.0,0,0,,
25,Dwarrowdelf.Client.UI,BaseObjectPropertiesControl,1,4,0,0,2,61,5,0,0,0.5,1,0,Dwarrowdelf.Client.GameData,
26,Dwarrowdelf.Client.UI,BuildOrderEditControl,4,7,2,2,2,113,13,0,0,0.71,3,0,Dwarrowdelf.Client.UI.BuildOrderEditable' Dwarrowdelf.Client.UI.BuildMaterialsView' Dwarrowdelf.Client.UI.SelectableItem<T>,
27,Dwarrowdelf.Client.UI,BuildOrderEditable,1,5,2,0,4,58,9,0,0,1.0,0,2,,Dwarrowdelf.Client.UI.BuildOrderEditControl' Dwarrowdelf.Client.UI.BuildingEditControl
28,Dwarrowdelf.Client.UI,BuildMaterialsView,0,4,8,0,1,110,9,0,0,-1.0,1,1,Dwarrowdelf.Client.UI.SelectableItem<T>,Dwarrowdelf.Client.UI.BuildOrderEditControl
29,Dwarrowdelf.Client.UI,SelectableItem<T>,2,4,2,0,3,43,5,0,0,0.75,0,2,,Dwarrowdelf.Client.UI.BuildOrderEditControl' Dwarrowdelf.Client.UI.BuildMaterialsView
30,Dwarrowdelf.Client.UI,ConcreteObjectPropertiesControl,1,3,0,0,2,39,4,0,0,0.0,0,0,,
31,Dwarrowdelf.Client.UI,AssignmentToStringConverter,0,2,0,0,2,22,5,0,0,-1.0,0,0,,
32,Dwarrowdelf.Client.UI,ListItemInfoTemplateDictionary,0,1,0,0,0,50,8,0,0,-1.0,3,0,Dwarrowdelf.Client.App' Dwarrowdelf.Client.UI.LivingControlWindow' Dwarrowdelf.Client.UI.ObjectEditDialog,
33,Dwarrowdelf.Client.UI,TestControl,0,1,0,0,1,7,1,0,0,-1.0,0,0,,
34,Dwarrowdelf.Client.UI,TreeViewTemplateDictionary,0,1,0,0,0,50,8,0,0,-1.0,3,0,Dwarrowdelf.Client.App' Dwarrowdelf.Client.UI.LivingControlWindow' Dwarrowdelf.Client.UI.ObjectEditDialog,
35,Dwarrowdelf.Client.UI,ObjectIDConverter,0,2,0,0,2,29,7,0,0,-1.0,0,0,,
36,Dwarrowdelf.Client.UI,ItemObjectPropertiesControl,1,5,0,0,2,86,8,0,0,0.6,2,0,Dwarrowdelf.Client.App' Dwarrowdelf.Client.GameData,
37,Dwarrowdelf.Client.UI,SymbolAndColorToDrawingConverter,0,2,0,0,2,28,6,0,0,-1.0,1,0,Dwarrowdelf.Client.GameData,
38,Dwarrowdelf.Client.UI,ItemIDAndMaterialIDToDrawingConverter,0,2,0,0,2,40,6,0,0,-1.0,1,0,Dwarrowdelf.Client.GameData,
39,Dwarrowdelf.Client.UI,BuildingEditControl,4,8,0,0,2,111,14,0,0,0.5,1,1,Dwarrowdelf.Client.UI.BuildOrderEditable,Dwarrowdelf.Client.UI.MainWindow
40,Dwarrowdelf.Client.UI,CapitalizeConverter,0,2,0,0,2,14,2,0,0,-1.0,0,0,,
41,Dwarrowdelf.Client.UI,LivingObjectPropertiesControl,1,4,0,0,2,89,9,0,0,0.5,1,0,Dwarrowdelf.Client.DebugScriptMessages,
42,Dwarrowdelf.Client.UI,MainWindowToolBar,1,5,0,0,2,67,7,0,0,0.6,2,0,Dwarrowdelf.Client.GameData' Dwarrowdelf.Client.UI.LaborManagerDialog,
43,Dwarrowdelf.Client.UI,ComboBoxNullConverter,0,2,0,0,2,15,4,0,0,-1.0,0,0,,
44,Dwarrowdelf.Client.UI,MovableObjectPropertiesControl,2,5,0,0,2,171,17,0,0,0.4,1,0,Dwarrowdelf.Client.GameData,
45,Dwarrowdelf.Client.UI,SelectableMaterialID,0,1,0,0,1,7,1,0,0,-1.0,0,1,,Dwarrowdelf.Client.UI.SelectableMaterialCategory
46,Dwarrowdelf.Client.UI,SelectableMaterialCategory,0,2,0,0,2,13,2,0,0,-1.0,1,3,Dwarrowdelf.Client.UI.SelectableMaterialID,Dwarrowdelf.Client.UI.StockpileEditControlMockData' Dwarrowdelf.Client.UI.StockpileEditControl' Dwarrowdelf.Client.UI.ConstructDialog
47,Dwarrowdelf.Client.UI,SelectableItemID,0,2,0,0,2,13,2,0,0,-1.0,0,1,,Dwarrowdelf.Client.UI.SelectableItemCategory
48,Dwarrowdelf.Client.UI,SelectableItemCategory,0,1,0,0,1,7,1,0,0,-1.0,1,2,Dwarrowdelf.Client.UI.SelectableItemID,Dwarrowdelf.Client.UI.StockpileEditControlMockData' Dwarrowdelf.Client.UI.StockpileEditControl
49,Dwarrowdelf.Client.UI,StockpileEditControlMockData,0,1,2,0,1,10,1,0,0,-1.0,2,0,Dwarrowdelf.Client.UI.SelectableMaterialCategory' Dwarrowdelf.Client.UI.SelectableItemCategory,
50,Dwarrowdelf.Client.UI,StockpileEditControl,2,9,1,0,2,162,20,0,0,0.67,3,0,Dwarrowdelf.Client.UI.SelectableMaterialCategory' Dwarrowdelf.Client.UI.SelectableItemCategory' Dwarrowdelf.Client.UI.StockpileCriteriaEditable,
51,Dwarrowdelf.Client.UI,StockpileCriteriaEditable,0,3,3,0,3,76,7,0,0,-1.0,0,2,,Dwarrowdelf.Client.UI.DesignStockpileSample' Dwarrowdelf.Client.UI.StockpileEditControl
52,Dwarrowdelf.Client.UI,StockpileInfoControl,1,3,0,0,2,39,4,0,0,0.0,0,0,,
53,Dwarrowdelf.Client.UI,DesignStockpileSample,0,1,1,0,1,14,1,0,0,-1.0,1,0,Dwarrowdelf.Client.UI.StockpileCriteriaEditable,
54,Dwarrowdelf.Client.UI,MultiTileInfoControl,2,3,0,0,2,53,4,0,0,0.0,1,0,Dwarrowdelf.Client.UI.ListConverter<T>,
55,Dwarrowdelf.Client.UI,ListConverter<T>,1,3,0,0,3,19,4,0,0,0.67,0,2,,Dwarrowdelf.Client.UI.MyTileConverter' Dwarrowdelf.Client.UI.MultiTileInfoControl
56,Dwarrowdelf.Client.UI,MyTileConverter,0,1,0,0,1,4,1,0,0,-1.0,1,0,Dwarrowdelf.Client.UI.ListConverter<T>,
57,Dwarrowdelf.Client.UI,MyWatersConverter,0,1,0,0,1,4,1,0,0,-1.0,0,0,,
